English Language Name	Alternate Language Name	iso	rod	var	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scripture App Builder HTML (SE)	Online Viewer (SE)	Google Play (Android app) (SE)	Android App (SE version)	Buy	BibleIs	YouVersion	GRN	eBible	GoBible (SE)	MySword (Android) (SE)	Playlist Audio (SE)	Jesus Film	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video (SE)	Scripture Animation Video (SE)	The Last Day Video	Story of Jesus for Children Video	History	5fish	iTunes	One Story	Bibles for India	Bibles for Russia	Maps
Wapishana	Uapixana, Vapidiana, Wapichan, Wapichana, Wapisana, Wapishshiana, Wapisiana, Wapitxana, Wapixana, Amariba, Atorai, Aruma, Wapishiana, Wapixiana, Wapixiána, Wapixána	wap			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wap	Brazil, Guyana	27				1										1		1		1	1	1	1	1		1			1							2	2									1
Warao	Guarao, Guarauno, Warrau, Guarauno, Warau, Warrau, Guarau	wba			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wba	Guyana, Suriname, Venezuela																				2		1					1				1														1
Waris	Walsa	wrs			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wrs	Indonesia, Papua New Guinea	27				1		3		3								1			1	1	1	1	1	1																				1
Warji	Sar, Sarawa, Warja, Warjawa	wji			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wji	Nigeria																											1																		1
Warlpiri	Albura, Alpira, Alpiri, Elpira, Ilpara, Ilpira, Ilpirra, Nambuda, Ngalia, Ngaliya, Ngallia, Ngardilpa, Njambalatji, Ulperra, Waibry, Wailbri, Walbiri, Walbrai, Walbri, Waljbiri, Waljpiri, Walmala, Walmama, Walmanba, Walpari, Walpiri, Wanaeka, Wanajaga, Wanajaka, Wanajeka, Waneiga, Waringari, Wolperi, Wolpirra	wbp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wbp	Australia																					1	1	1																						1
Waropen	Ambumi, Napan, Waropen Kai, Aropen, Wonti, Worpen	wrp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wrp	Indonesia																						1					1																		1
Waskia	Vaskia, Woskia	wsk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wsk	Papua New Guinea																				1		1	1				1																		1
Watakataui	Waxe	wtk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wtk	Papua New Guinea																											1																		1
Waurá	Waura, Aura, Uaura, Wauja, Uará, Waujá, Waurá-Meinaku	wau			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=wau	Brazil															1		1					1					1																		1
Wayampi	Guaiapi, Guayapi, Oiampí, Oyampí, Oyampík, Oyanpík, Waiampi, Waiãpi, Wajapae, Wajapuku, Wayapae, Wayãpi, Amapari Wayampi, Jari, Oiyapoque Wayampi, Wayapi, Wayãpy, Oiyapoque, Oiumpian, Oyapí, Wajapi	oym	2363		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&iso=oym&rod=2363	Brazil, French Guiana	27				1										1		1		1		1	1			1		1																		1
