English Language Name	Alternate Language Name	ISO code	ROD code	Variant code	URL	Country(ies)	NT PDF count	NT Audio count	NT Partial PDF count	NT Partial Audio count	NT PDF Whole count	NT Audio Whole count	OT PDF count	OT Audio count	OT Partial PDF count	OT Partial Audio count	OT PDF Whole count	OT Audio Whole count	Bible PDF count	Bible Audio count	Scriture App Builder HTML	Google Play (Android app)	Android App (SE version)	Buy	BibleIs	YouVersion	Bibles.org	GRN	GoBible	MySword (Android)	Playlist Audio	Jesus Film (SE and YouTube)	Luke Vidoe	John Video	Acts Video	Genesis Video	God's Story Video	The Good Samaritan Video	Magdalena Video	John Animation Video	Scripture Animation Video	The Last Day Video	Jesus/Children Video	History	5fish	iTunes	Maps	
Soli	Chisoli	sby			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sby	Zambia															1																											
Somali	Af-Maxaad Tiri, Af-Soomaali, Common Somali, Soomaaliga, Standard Somali, Somalie, Degodia, Ogaden, Wardei, Uardai, Wadai, Warday, Af-Ashraaf, Benaadir, Northern Somali, Ashraaf, Afka Soomaaliga	som			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=som	Djibouti, Ethiopia, Kenya, Somalia															1			2008 Revision of Whole Bible in Somali (Amazon): http://www.amazon.com/Somali-Bible/dp/9966481265/ref=sr_1_1?ie=UTF8&qid=1440444555&sr=8-1&keywords=somali+bible ## Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/somali-bibles/	https://live.bible.is/bible/SOMSIM/Mat/1 ## https://live.bible.is/bible/SOMB13/mat/1	Bible.com (YouVersion) - Kitaabka Quduuska Ah (SOMB): https://www.bible.com/bible/87/MAT.1	Bibles.org: https://bibles.org/som-YALB/Matt/1	Audio recordings in the Somali language (Global Recordings Network): http://globalrecordings.net/en/language/51				https://www.scriptureearth.org/data/som/video/JESUSFilm-som.txt							https://www.scriptureearth.org/data/som/video/Magdalena-som.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/somali.html			https://itunes.apple.com/us/app/somali-bible/id1015218871?mt=8	languages of Djibouti, Eritrea, Ethiopia: http://www.ethnologue.com/map/DJER__ ## languages of Kenya: http://www.ethnologue.com/map/KE ## languages of Somalia: http://www.ethnologue.com/map/SO	
Songe	Eastern Kalebwe, Mbagani, Western Kalebwe, Esambi Kipya, Ikalebwe, Kilombeno Kibya, Kalebwe, Kisonge, Kisongi, Kisongye, Luba-Songi, Lusonge, Northeast Luba, Songye, Yembe	sop			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sop	Democratic Republic of the Congo															1																											
Songhay, Gao	Songoy de Gao, Fulan Kirya, Gao, Songhay, Koyraboro Senni, East Songhay, Gao Songhay, Koyra Senni, Koyra Senni Songhay, Songai, Songay Senni, Songhai, Songhay, Songoi, Songoy, Sonrai, Sonrhai	ses			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ses	Mali															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=com.songoy.ses.bsg			https://live.bible.is/bible/SESNEW/mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1465/MAT.1	Bibles.org: https://bibles.org/ses-SES/Matt/1					https://www.scriptureearth.org/data/ses/video/JESUSFilm-ses.txt															languages of Central Mali: http://www.ethnologue.com/map/ML_cz	
Songhay, Timbuktu	Songai Timbuktu, Songai, Songhai, Songhay, Songhoy, Songoi, Songoy, Sonrai, Sonrhai, Timbuktu Songhoy, West Songhoy, Songay, Songoy de Tombouctou, Djenné Chiini, Koyra Chiini, Songhay, Koyra Chiini, Songai, Songhai, Songhay, Songhoy, Songoi, Songoy, Sonrai, Sonrhai, Timbuktu Songhoy, West Songhoy	khq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=khq	Mali															1				https://live.bible.is/bible/KHQBIV/Mat/1							https://www.scriptureearth.org/data/khq/video/JESUSFilm-khq.txt															languages of Central Mali: http://www.ethnologue.com/map/ML_c_ ## languages of Central Mali (enlarged): http://www.ethnologue.com/map/ML_cz	
Soninke	Kinbakka, Kinxenna, Serahule, Sarakole, Sarakule, Sarakulle, Saraxuli, Sooninkanxanne, Sarakolé, Maraka, Marka, Sarakolle, Soninkanxanne, Geriga, Giriga, Aswanek, Aswanik, Azer, Ceddo, Cheddo, Gangara, Genger, Kwara, Markaajo, Markakan, Sarangkole, Sarangkolle, Sebbe, Serecole, Sooninke, Wakkore, Wankara, Adjer, Aser	snk			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=snk	Guinea-Bissau, Mali, Mauritania, Senegal, The Gambia															1																											
Sora	Sabar, Sabara, Saonras, Saora, Saura, Savara, Sawaria, Shabari, Soura, Swara	srb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=srb	India															1																											
Soriyali	सोरयाली, Kumauni, Kamaoni, Kumau, Kumawani, Kumgoni, Kumman, Kunayaoni, Central Kumaoni, Northeastern Kumaoni, Southeastern Kumaoni, Western Kumaoni, Kumaoni, Kamaoni, Kumau, Kumawani, Kumgoni, Kumman, Kunayaoni	kfy	"12473		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=kfy&ROD_Code=12473	India															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.ips.kfy1bible.soriyali						Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/12473				https://www.scriptureearth.org/data/kfy/video/JESUSFilm-kfy.txt															languages of India: http://www.ethnologue.com/map/IN_01 ## languages of India: http://www.ethnologue.com/map/IN_03	
Sotho, Northern	Dzwabo, Gananwa, Kgaga, Khutswe, Koni, Kopa, Lobedu, Masemola, Matlala-Moletshi, Pai, Phalaborwa, Pulana, Tlokwa, Tswene, Dogwa, Hananwa, Khaga, Khelobedu, Khutswi, Kone, Kutswe, Kxaxa, Lovedu, Lubedu, Masemula, Ndebele-Sotho, Phalaburwa, Tau, Thabine-Roka-Nareng, Thephalaborwa, Tlokoa, Tokwa, Tsweni, Xananwa, Pedi, Sepedi, Sesotho sa Leboa, Transvaal Sotho	nso			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nso	South Africa															1																						https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/sotho-northern.html					
Sotho, Southern	Sesotho, Sisutho, Souto, Suthu, Suto, Taung	sot			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sot	Lesotho, South Africa															1																						https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/sotho-southern.html					
Southern Nisu	Mojiang Nisu, Yuanyang Nisu, Nisu, Southern, Nisupho, Yuan-Mo Yi	nsd			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=nsd	China															1																											
Spanish		spa			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=spa	Belize, Bolivia, Colombia, Costa Rica, Cuba, Ecuador, El Salvador, Guatemala, Honduras, Mexico, Panama, Peru, Spain, United States, Venezuela			100						100						1	Android app en Google Play (La Biblia en 20+ versiones Español): https://play.google.com/store/apps/details?id=com.sirma.mobile.bible.android		books (la Liga Bíblica): http://labibliaweb.com/ ## Easy to Read Bibles (Bible League International): https://store.bibleleague.org/search/?type=Bibles&lang=Spanish ## Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/spanish-bibles/	La Santa Biblia, Nueva Versión Internacional: https://live.bible.is/bible/SPANVI/mat/1 ## Biblia de América: https://live.bible.is/bible/SPABDA/mat/1 ## Biblia Dios Habla Hoy: https://live.bible.is/bible/SPADHH/mat/1 ## La Palabra de Dios para Todos (2000): https://live.bible.is/bible/SPAERV/mat/1 ## Lenguaje Actual (nota, no enlaza): https://live.bible.is/bible/SPALAR/mat/1 ## La Palabra de Dios para Todos (nota, no enlaza): https://live.bible.is/bible/SPAPDT/mat/1 ## La Santa Biblia de 1960: https://live.bible.is/bible/SPAR60/mat/1 ## Reina Valera 1995: https://live.bible.is/bible/SPAR95/mat/1 ## Reina Valera, Revisada y Corregida (1865): https://live.bible.is/bible/SPARVC/mat/1 ## La Palabra de Dios para Todos: https://live.bible.is/bible/SPAWTC/mat/1	Bible.com (YouVersion) - Dios Habla Hoy 1994: https://www.bible.com/bible/411/MAT.1 ## Bible.com (YouVersion) - Dios habla Hoy Estándar 1994: https://www.bible.com/bible/1846/MAT.1 ## Bible.com (YouVersion) - Dios Habla Hoy  con Deuterocanónicos1994: https://www.bible.com/bible/52/MAT.1 ## Bible.com (YouVersion) - Dios Habla Hoy con Deuterocanónicos 1992: https://www.bible.com/bible/442/MAT.1 ## Bible.com (YouVersion) - Dios Habla Hoy Versión Española 2002: https://www.bible.com/bible/53/MAT.1 ## Bible.com (YouVersion) - Nueva Versión Internacional (América Latina): https://www.bible.com/bible/128/MAT.1 ## Bible.com (YouVersion) - Nueva Versión Internacional (España): https://www.bible.com/bible/1637/MAT.1 ## Bible.com (YouVersion) - La Palabra de Dios para Todos: https://www.bible.com/bible/197/MAT.1 ## Bible.com (YouVersion) - La Palabra: https://www.bible.com/bible/210/MAT.1 ## Bible.com (YouVersion) - La Biblia de las Americas: https://www.bible.com/bible/89/MAT.1 ## Bible.com (YouVersion) - Tradución en Lengua Actual: https://www.bible.com/bible/176/MAT.1 ## Bible.com (YouVersion) - Tradución en Lengua Actual con Deuterocanónicos: https://www.bible.com/bible/178/MAT.1 ## Bible.com (YouVersion) - Biblia del Oso 1573: https://www.bible.com/bible/1715/MAT.1 ## Bible.com (YouVersion) - La Santa Biblia, Nueva Biblia al Día: https://www.bible.com/bible/753/MAT.1 ## Bible.com (YouVersion) - La Biblia Interconfesional: https://www.bible.com/bible/214/MAT.1 ## Bible.com (YouVersion) - La Biblia Hispanoamericana (interconfesional): https://www.bible.com/bible/222/MAT.1 ## Bible.com (YouVersion) - La Biblia Hispanoamericana: https://www.bible.com/bible/28/MAT.1 ## Bible.com (YouVersion) - Reina Valera Contemporánea: https://www.bible.com/bible/146/MAT.1 ## Bible.com (YouVersion) - Reina Valera 1995: https://www.bible.com/bible/150/MAT.1 ## Bible.com (YouVersion) - Reina Valera 1960: https://www.bible.com/bible/149/MAT.1 ## Bible.com (YouVersion) - Reina Valera 1909: https://www.bible.com/bible/1718/MAT.1	Bibles.org: https://bibles.org/spa-BHTI/Matt/1 ## Bibles.org: https://bibles.org/spa-TLA/Matt/1 ## Bibles.org: https://bibles.org/spa-RVR95/Matt/1 ## Bibles.org: https://bibles.org/spa-RVR1960/Matt/1 ## Bibles.org: https://bibles.org/spa-RVC/Matt/1 ## Bibles.org: https://bibles.org/spa-DHH/Matt/1 ## Bibles.org: https://bibles.org/spa-DHHE/Matt/1 ## Bibles.org: https://bibles.org/spa-BTI/Matt/1					https://www.scriptureearth.org/data/spa/video/JESUS-spaLA.txt ## https://www.scriptureearth.org/data/spa/video/JESUS-spaES.txt				https://www.scriptureearth.org/data/spa/video/spa-GenesisVideo.txt ## https://www.scriptureearth.org/data/spa/video/spa-GenesisVideo-640.txt ## https://www.scriptureearth.org/data/spa/video/spaB-GenesisVideo.txt ## https://www.scriptureearth.org/data/spa/video/spaB-GenesisVideo-640.txt			https://www.scriptureearth.org/data/spa/video/Magdalena-spa.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/spanish-castilian.html					
Spanish Sign Language	LSE, Lengua de Señas Española, Lengua de Signos Española, Mímica	ssp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ssp	Spain															1				https://live.bible.is/bible/SSPSLV																							
Sranan	Sranan Tongo, Surinaams, Suriname Creole English, Surinamese, Taki-Taki	srn			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=srn	Aruba, Netherlands Antilles, Suriname	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.scriptureearth.srn.nt.apk		Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/sranan-tongo-bibles/	https://live.bible.is/bible/SRNBSS/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/674/MAT.1	Bibles.org: https://bibles.org/srn-SRNNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/405		 srn.bbl.mybible		https://www.scriptureearth.org/data/srn/video/JESUSFilm-srn.txt																
Stieng, Bulo	Budíp, Northern Stieng, Rangah, Upper Stieng, Xa-Dieng, Xtieng	sti			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sti	Cambodia, Vietnam			100						100						1							Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/sti																			languages of Southern Viet Nam: http://www.ethnologue.com/map/VN_s_ ## languages of Cambodia: http://www.ethnologue.com/map/KH	
Stoney	Nakoda, Stony, Northern Stoney, Southern Stoney, Dakota, Stony, Ĩyãħé Nakoda	sto			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sto	Canada															1							Audio recordings (Global Recordings Network): http://globalrecordings.net/en/program/C05571					https://www.scriptureearth.org/data/sto/video/LukeVideo-sto.txt			https://www.scriptureearth.org/data/sto/video/GenesisVideo-sto.txt											languages of Canada: http://www.ethnologue.com/map/CA_sc	
Suau	Iou, Bona Bona, Bonarua, Dahuni, Lausaha, Leileiafa, Sinaki, Daui, Fife Bay, Gadaisu, Gaidasu	swp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=swp	Papua New Guinea	27		100		1		4		100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=swp_Suau_Bible-3.3.apk	https://www.scriptureearth.org/data/swp/study/swp_Suau_Bible-3.3.apk	Scriptures (Virtual Storehouse): http://virtualstorehouse.org/suau-bible-swp	https://live.bible.is/bible/SWPPNG/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/614	SuauBible.jar	 swp.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_17	
Suba	EgiSuba, Luo AbaSuba, Olusuba	sxb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sxb	Kenya															1				https://live.bible.is/bible/SXBWBT/mat/1							https://www.scriptureearth.org/data/sxb/video/JESUSFilm-sxb.txt																
Suba-Simbiti	Kisimbiti, Kisuba, Simbiti, Hacha, Iryege, Kine, Kiroba, Kironi, Kiseru, Kisingiri, Rieri, Surwa, Sweta, Ekekeroobha, Haacha, Ikiirëghë, Iregi, Kihacha, Kiine, Kiiryege, Kikine, Kikirone, Kisurwa, Kisweta, Ryeri, Kisuba, Simbiti	ssc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=ssc	Tanzania			100						100						1											https://www.scriptureearth.org/data/ssc/video/JESUSFilm-ssc.txt															languages of Tanzania: http://www.ethnologue.com/map/TZ	
Subanen, Central	Sindangan Subanun, Eastern Kolibugan, Eastern Kalibugan, Sinubaanen, Subaanen, Subanen	syb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=syb	Philippines															1	Android app (Google Play Store): org.wycliffe.subanen.central.syb		New Testament (Virtual Storehouse): http://virtualstorehouse.org/subanen-central-nt-syb		Bible.com (YouVersion): https://www.bible.com/bible/1325/MAT.1	Bibles.org: https://bibles.org/syb-SYB/Matt/1						https://www.scriptureearth.org/data/syb/video/LukeVideo-syb.txt														languages of Southern Philippines: http://www.ethnologue.com/map/PH_s	
Subanen, Northern	Dapitan, Dikayu, Miatan, Piyau, Salog, Salug, Northern Subaanen, Tuboy Subanon	stb			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=stb	Philippines															1																		https://www.scriptureearth.org/data/stb/video/Magdalena-stb.txt									
Subanon, Western	Siocon, Western Kolibugan, Western Kalibugan, Subanon	suc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=suc	Philippines	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.suc.subanon.western.bible				Bible.com (YouVersion): https://www.bible.com/bible/1324/MAT.1	Bibles.org: https://bibles.org/suc-SUC/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/16914	SubanonWesternNT.jar	 suc.bbl.mybible		https://www.scriptureearth.org/data/suc/video/JESUSFilm-suc.txt				https://www.scriptureearth.org/data/suc/video/GenesisVideo-suc.txt											languages of Southern Philippines: http://www.ethnologue.com/map/PH_s	
Sudest	Central Sudest, Eastern Point, Eastern Sudest, Rambuso, Western Sudest, Araetha, Dtelha, Griffin Point, Jelewaga, Pamela, Rehuwo, Rewa, Sud-Est, Tagula, Vanatinai, Vanga	tgo			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=tgo	Papua New Guinea															1																											
Suena	Yarawe, Yarawi, Yema, Yarawi, Yema	sue			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sue	Papua New Guinea	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.sue.suena.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/suena-nt-sue	https://live.bible.is/bible/SUEWBT/Mat/1		Bibles.org - Tua Yesu Kristora Oziga Ewanana (SUENT): https://bibles.org/sue-SUENT/Matt/1		SuenaNT.jar	 sue.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_15 ## languages of Papua New Guinea: http://www.ethnologue.com/map/PG_16	
Sulka	Moglon	sua			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sua	Papua New Guinea	27		100		1				100						1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.sua.sulka.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/sulka-nt-sua	https://live.bible.is/bible/SUKTBL/Mat/1		Bibles.org: https://bibles.org/sua-SUANT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/5148	SulkaNT.jar	 sua.bbl.mybible			https://www.scriptureearth.org/data/sua/video/LukeVideo-sua.txt														languages of Papua New Guinea: http://www.ethnologue.com/map/PG_12	
Sumo	Warapu	wra	"21169		https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=wra&ROD_Code=21169	Papua New Guinea		45		45											1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.wras.sumo.bible						Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/21169																			languages of Papua New Guinea: http://www.ethnologue.com/map/PG_03	
Sundanese	Sunda, Priangan, Bogor, Cirebon, Pringan, Krawang, Basa Gumung, Basa Sunda, Priangan	sun			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sun	Indonesia															1				https://live.bible.is/bible/SUNIBS/Mat/1			Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/689				https://www.scriptureearth.org/data/sun/video/JESUSFilm-sun.txt															languages of Indonesia: http://www.ethnologue.com/map/ID_jb_	
Sunwar	Surel, Bhujuwar, Kiranti-Kõits Lo, Kirati-Koits, Koits Lo, Mukhiya, Pirthwar, Sunuwar, Sunwari	suz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=suz	Nepal	27				1		39				1		1		1											https://www.scriptureearth.org/data/suz/video/JESUSFilm-suz.txt																
Suodi	Northern Shypnra, Southern Shypnra, Suondi, Yynuo, Adu, Nuosu, Black Yi, Liangshan Yi, Northern Yi, Nosu Yi, Sichuan Yi	iii			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=iii	China															1																											
Supyire	Supꞌide, Suppire, Senoufo, Senufo, Senefo, Fanywohoshin, Kadi, Kampwo, Nyana Nyuni, Sénoufo, Supyire, Sup’ide, Suppire	spp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=spp	Mali															1				https://live.bible.is/bible/SPPTBL/Mat/1	Bible.com (YouVersion): https://www.bible.com/bible/1145/MAT.1	Bibles.org - SPSNT: https://bibles.org/spp-SPPNT/Matt/1					https://www.scriptureearth.org/data/spp/video/JESUSFilm-spp.txt															languages of Central Mali: http://www.ethnologue.com/map/ML_cz ## languages of Southern Mali: http://www.ethnologue.com/map/ML_s_	
Surgujia	सरगुजिया, Suraji, Surguja, Surgujia-Chhattisgarhi, Surjugia, Suraji, Surguja, Surgujia-Chhattisgarhi, Surjugia	sgj			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sgj	India															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.ips.sgjbible.surgujia						Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/724				https://www.scriptureearth.org/data/sgj/video/JESUSFilm-sgj.txt															languages of India: http://www.ethnologue.com/map/IN_03 ## languages of India: http://www.ethnologue.com/map/IN_03	
Suri	Chai, Tirmaga, Caci, Cai, Cirma, Dirma, Terema, Terna, Tid, Tirima, Tirma, Tirmagi, Churi, Dama, Dhuri, Eastern Suri, Shuri, Shuro, Surichɛn, Surma	suq			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=suq	Ethiopia															1																											
Surjapuri	Bijobe, Biyobe, Kayobe, Kuyobe, Meyobe, Sola, Solamba, , Sura	sjp			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sjp	India			100						100						1							Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/6330				https://www.scriptureearth.org/data/sjp/video/JESUSFilm-sjp.txt															languages of India: http://www.ethnologue.com/map/IN_03 ## languages of India: http://www.ethnologue.com/map/IN_04	
Sursurunga	Surkutus	sgz			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sgz	Papua New Guinea															1	Android app (Google Play Store): https://play.google.com/store/apps/details?id=org.wycliffe.sgz.sursurunga.nt		New Testament (Virtual Storehouse): http://virtualstorehouse.org/sursurunga-nt-sgz-907	https://live.bible.is/bible/SGZWBT/Mat/1		Bibles.org - SGZNT: https://bibles.org/sgz-SGZNT/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/418	SursurungaNT.jar	 sgz.bbl.mybible																	languages of Papua New Guinea: http://www.ethnologue.com/map/PG_02	
Suryoyo	Turoyo, Surayt, Süryani, Syryoyo, Turani, ’Iwardo, Anhil, Kfarze, Midin, Midyat, Raite	tru			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=tru	Syria, Turkey	27				1										1			New Testament (Virtual Storehouse): http://virtualstorehouse.org/suryoyo-pshitta-new-testament-tru-mpg				Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/tru				https://www.scriptureearth.org/data/tru/video/JESUSFilm-tru.txt															languages of Jordan and Syria: http://www.ethnologue.com/map/JOSY	
Susu	Sose, Soso, Soussou, Susoo, Soso, Sosoxui, Soussou, Susoo	sus			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=sus	Guinea, Sierra Leone															1				https://live.bible.is/bible/SUSPBT/Mat/1	Bible.com (YouVersion) Lingjili Matthew ki nache 1816 (SUS1816): https://www.bible.com/bible/2066/MAT.1		Audio recordings (Global Recordings Network): http://globalrecordings.net/en/langcode/sus								https://www.scriptureearth.org/data/sus/video/GenesisVideo-sus.txt											languages of Guinea: http://www.ethnologue.com/map/GNGW ## languages of Sierra Leone: http://www.ethnologue.com/map/SL	
Swahili	Kisuaheli, Kiswahili	swh			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=swh	Burundi, Kenya, Mozambique, Oman, Somalia, South Africa, Tanzania, Uganda			100						100						1			Bibles in Swahili (BiblesCanada.com): http://www.biblescanada.com/catalog/1669.htm ## Bibles in Swahili (Multi-language Media): http://multilanguage.com/scripture4.htm#SWAHILI ## Habari Njema Kwa Watu Wote/Good News for Modern Man diglot of the New Testament (Amazon): http://www.amazon.com/English-Swahili-Testament-Modern-Habari/dp/9966403140/ref=sr_1_4?s=books&ie=UTF8&qid=1441142554&sr ## Bible (ZakBijbelBond): https://www.zakbijbelbond.nl/en/swahili-bibles/	https://live.bible.is/bible/SWHSUV/mat/1 ## https://live.bible.is/bible/SWHKSB/mat/1 ## https://live.bible.is/bible/SWHSUV/mat/1	Kiswahili Contemporary Version (Neno: Biblia Takatifu) 2015: https://www.bible.com/bible/1627/MAT.1 ## Swahili Union Version 2001: https://www.bible.com/bible/74/MAT.1 ## Swahili Union Version 1997: https://www.bible.com/bible/164/MAT.1 ## Swahili Union Version (with Deuterocanonical books) 1997: https://www.bible.com/bible/393/MAT.1 ## Swahili Revised Union Version 2005: https://www.bible.com/bible/1817/MAT.1 ## Swahili Revised Union Version (with Deuterocanonical books) 2005: https://www.bible.com/bible/1818/MAT.1	Bibles.org - Biblia Habari Njema kwa Watu Wote (with Deuterocanonical books) 2001: https://bibles.org/swh-BHN/Matt/1 ## Bibles.org - Swahili Union Version 1197: https://bibles.org/swh-SUV/Matt/1	Audio recordings in multiple dialects of Swahili (Global Recordings Network): http://globalrecordings.net/en/langcode/swh			Genesis stories  (Hapo Mwanzo)	https://www.scriptureearth.org/data/swh/video/JESUSFilm-swhTanzania.txt ## https://www.scriptureearth.org/data/swh/video/JESUSFilm-swhKenya.txt							https://www.scriptureearth.org/data/swh/video/Magdalena-swh.txt				https://www.jesusfilm.org/watch/jfp-interests-student-resources.html/the-story-of-jesus-for-children/swahili-tanzania.html				languages of Kenya: http://www.ethnologue.com/map/KE ## languages of Mozambique: http://www.ethnologue.com/map/MZ ## languages of Somalia: http://www.ethnologue.com/map/SO ## languages of Tanzania: http://www.ethnologue.com/map/TZ	
Swahili, Congo	Zaïre Swahili, Ituri Kingwana, Katanga Swahili, Kivu Swahili, Lualaba Kingwana, Kiswahili	swc			https://www.scriptureearth.org/00i-Scripture_Index.php?sortby=lang&name=swc	Democratic Republic of the Congo, Zambia															1				https://live.bible.is/bible/SWCSBZ/Mat/1		Bibles.org -  - Biblia Habari Njema (BHN): https://m.bibles.org/swh-BHN/Matt/1 ## Bibles.org - Swahili Union Version of the Bible: https://m.bibles.org/swh-SUV/Matt/1	Audio recordings (Global Recordings Network): http://globalrecordings.net/en/language/151				https://www.scriptureearth.org/data/swc/video/JESUSFilm-swc.txt							https://www.scriptureearth.org/data/swc/video/Magdalena-swc.txt								languages of Zambia: http://www.ethnologue.com/map/ZM ## languages of Northern Democratic Republic of Congo: http://www.ethnologue.com/map/BICDRW_n ## languages of Southern Democratic Republic of Congo: http://www.ethnologue.com/map/BICDRW_s	
